분류,단원,단어,뜻
표제어,Day 01,fair,"공평한; 타당한; 상당한; 금발의, 흰 피부의; 박람회"
파생어,Day 01,fairly,상당히; 공정하게
파생어,Day 01,fairness,"공정, 공평"
표제어,Day 01,attempt,"시도, 노력; 시도하다"
표제어,Day 01,merely,"한낱, 단지, 그저"
파생어,Day 01,mere,"겨우 ~의, (한낱) ~에 불과한"
표제어,Day 01,comfort,"위로, 위안; 편안함; 위로하다; 편하게 하다"
파생어,Day 01,comfortable,편안한
파생어,Day 01,comfortingly,격려가 되게
표제어,Day 01,import,"수입하다; ~의 뜻을 함축하다; 중요하다; 수입, 수입품; 의미; 중요성"
파생어,Day 01,importer,"수입업자, 수입국"
파생어,Day 01,importable,수입 가능한
표제어,Day 01,register,"등록하다; 기록하다; 신청하다; 등록, 등록부"
파생어,Day 01,registration,"등록, 접수"
표제어,Day 01,accuse,"고발[고소]하다, 비난하다"
파생어,Day 01,accusation,"고발, 비난"
파생어,Day 01,the accused,피고(인)
표제어,Day 01,include,"포함하다; 넣다, 포함시키다"
파생어,Day 01,inclusion,포함; 함유(물)
파생어,Day 01,including,~을 포함하여
표제어,Day 01,exclude,제외하다; 차단하다
파생어,Day 01,exclusion,제외; 차단
파생어,Day 01,excluding,~을 제외하고
표제어,Day 01,approach,"접근하다, 다가가다[오다]; 접근(법)"
표제어,Day 01,nevertheless,그럼에도 불구하고
표제어,Day 01,reliable,"믿을 수 있는, 확실한"
파생어,Day 01,rely,"의지하다, 믿다"
파생어,Day 01,reliance,"의존, 의지"
표제어,Day 01,promote,증진[촉진]하다; 승진시키다; 홍보하다
파생어,Day 01,promotion,"승진; 판촉, 홍보"
표제어,Day 01,adjust,"적응하다; 조정하다, 맞추다"
파생어,Day 01,adjustment,조정; 적응
표제어,Day 01,predict,"예언하다, 예측하다"
파생어,Day 01,predictable,예측할 수 있는
파생어,Day 01,prediction,"예언, 예측"
표제어,Day 01,install,"설치하다, 설비하다"
파생어,Day 01,installation,"설치, 설비; 장치"
표제어,Day 01,alternative,"대안, 선택 가능한 것; 대체 가능한, 대안이 되는"
파생어,Day 01,alternate,번갈아 나오는; 대안의; 번갈아 나오다
표제어,Day 01,variable,"변하기 쉬운, 변덕스러운"
파생어,Day 01,vary,바꾸다; 다르다
파생어,Day 01,variation,변화; 변형
파생어,Day 01,variety,"다양(성), 변화(가 많음)"
표제어,Day 01,various,"여러 가지의, 다양한"
표제어,Day 01,varied,가지각색의
표제어,Day 01,appoint,임명[지명]하다; (시간·장소 등을) 정하다
파생어,Day 01,appointment,"약속; 임명, 지명"
표제어,Day 01,locate,"위치하다; (위치를) 알아내다; (특정 위치에) 두다, 설치하다"
파생어,Day 01,location,"위치, 장소"
표제어,Day 01,celebrity,유명 인사; 명성
표제어,Day 01,handle,처리하다; 다루다; 손잡이
표제어,Day 01,originate,"((~ from)) 생기다, 일어나다; ((~ in)) 비롯되다, 유래하다"
파생어,Day 01,origination,창작; 발명
표제어,Day 01,aware,"알아차린, 알고 있는"
파생어,Day 01,awareness,"인식, 알고 있음"
파생어,Day 01,be aware of,~을 알아채다
표제어,Day 01,caution,"조심, 신중; 경고; 경고하다"
파생어,Day 01,cautious,"조심성 있는, 신중한"
파생어,Day 01,with caution,"조심하여, 신중히"
표제어,Day 01,barrier,"장애, 장벽; 방벽, 국경의 요새"
표제어,Day 01,anticipate,"예상하다, 예측하다; 기대하다"
파생어,Day 01,anticipation,예상; 기대
표제어,Day 01,breed,"번식하다; 사육하다, 재배하다; (가축의) 품종"
표제어,Day 02,commit,"(죄를) 범하다; 약속하다; 전념하다, 헌신하다"
파생어,Day 02,commitment,약속; 헌신; 위탁
표제어,Day 02,hence,"따라서, 그러므로; 향후"
표제어,Day 02,theorize,(이론·학설 등을) 세우다
파생어,Day 02,theory,"이론, 학설"
표제어,Day 02,assert,주장하다; 단언하다
파생어,Day 02,assertion,"주장, 단언"
표제어,Day 02,distribute,"나누어 주다, 분배하다; 유통시키다"
파생어,Day 02,distribution,"분배, 배급; 분포"
표제어,Day 02,steep,가파른; 급격한
파생어,Day 02,steeply,가파르게
표제어,Day 02,former,"이전의, 예전의; ((the ~)) (둘 중에서) 전자"
표제어,Day 02,latter,후반의; (둘 중에서) 후자의; ((the ~)) (둘 중에서) 후자
표제어,Day 02,perceive,"인지하다, 알아차리다; 여기다"
파생어,Day 02,perception,"지각, 인지"
파생어,Day 02,perceptive,지각력이 있는
표제어,Day 02,combine,결합하다[되다]; 겸비하다
파생어,Day 02,combination,결합
표제어,Day 02,proceed,"계속하다[되다], 진행하다[되다]; 나아가다"
파생어,Day 02,procedure,"절차, 진행 방식"
파생어,Day 02,process,"진행, 과정; 처리하다"
표제어,Day 02,obvious,"명백한, 분명한"
파생어,Day 02,obviously,"명백하게, 분명히"
표제어,Day 02,apply,"신청하다, 지원하다; 적용되다; 바르다"
파생어,Day 02,application,"신청, 지원(서); 적용"
파생어,Day 02,applicant,지원자
표제어,Day 02,concentrate,집중하다; (한 곳에) 모으다
파생어,Day 02,concentration,집중(력); 농축
표제어,Day 02,crisis,"위기, 결정적인 시기"
표제어,Day 02,inclined,~하는 경향이 있는; ~할 마음이 있는
파생어,Day 02,incline,마음이 내키게 하다; 기울(이)다
파생어,Day 02,inclination,경향; 경사
표제어,Day 02,emotion,"감정, 정서"
파생어,Day 02,emotional,감정적인
표제어,Day 02,represent,대표하다; 나타내다; 보여주다
파생어,Day 02,representation,"표현, 표상, 대표"
표제어,Day 02,feature,특징; 이목구비; 특집 (기사[방송]); 특징으로 삼다
표제어,Day 02,relevant,관련된; 적절한
파생어,Day 02,relevance,관련성; 타당성
표제어,Day 02,factual,사실에 입각한
